en,kor,cc
She became scared when she noticed the man following her.,그녀는 그 남자가 자신을 따라온다는 것을 알아차렸을 때 무서워했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #45436 (CK) & #11105532 (intertime)
Why do you like this school?,왜 이 학교를 좋아해?,CC-BY 2.0 (France) Attribution: tatoeba.org #6949899 (CK) & #8362088 (Eunhee)
Tom is passed out in bed.,톰은 침대에서 기절했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3419872 (CK) & #7497230 (raining211)
I know who he is.,나는 그가 누군지 안다.,CC-BY 2.0 (France) Attribution: tatoeba.org #260119 (CK) & #11107503 (intertime)
May God bless you.,신께서 당신을 축복하시길.,CC-BY 2.0 (France) Attribution: tatoeba.org #269634 (CM) & #4719888 (kumdonghee)
This is a French word.,이건 프랑스어 단어야.,CC-BY 2.0 (France) Attribution: tatoeba.org #8410834 (CK) & #8417364 (Eunhee)
He eats nothing other than fruit.,그는 과일 외에는 아무것도 먹지 않았다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1362583 (CK) & #11105622 (intertime)
The students of this school are kind.,이 학교의 학생들은 친절하다.,CC-BY 2.0 (France) Attribution: tatoeba.org #59934 (CK) & #8549576 (okja)
We'll be right here.,우린 바로 여기 있을 거야.,CC-BY 2.0 (France) Attribution: tatoeba.org #3312205 (CK) & #8516967 (Eunhee)
"Bread is made from flour, water and yeast.","빵은 밀가루, 물, 이스트로 만든다.",CC-BY 2.0 (France) Attribution: tatoeba.org #34925 (CK) & #11106741 (intertime)
When did it start snowing?,눈이 언제 내리기 시작했어?,CC-BY 2.0 (France) Attribution: tatoeba.org #8441020 (CK) & #8441230 (Eunhee)
I prefer coffee with milk.,나는 커피에 우유를 타는 게 좋다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1195533 (mookeee) & #11106650 (intertime)
Have you ever been fired from a job?,너 직장에서 해고당한 적 있어?,CC-BY 2.0 (France) Attribution: tatoeba.org #4498692 (CK) & #8362294 (Eunhee)
You'll soon get used to the noise.,넌 곧 소음에 익숙해질거야.,CC-BY 2.0 (France) Attribution: tatoeba.org #2712855 (CK) & #8360717 (Eunhee)
Why don't you eat now?,왜 지금 먹지 않나요?,CC-BY 2.0 (France) Attribution: tatoeba.org #6354828 (CK) & #11107473 (intertime)
I'm not very good at chess.,나는 체스를 별로 잘 하지 못한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2713303 (CK) & #11110729 (intertime)
I hope that I can do it.,내가 할 수 있길 바라.,CC-BY 2.0 (France) Attribution: tatoeba.org #3716048 (CK) & #3716054 (Queserasera)
Can you give me directions to the subway station?,지하철로 가는 길 좀 가르쳐 줄 수 있어?,CC-BY 2.0 (France) Attribution: tatoeba.org #277078 (CK) & #8369652 (Eunhee)
Tom needs protection.,톰은 보호가 필요하다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2237424 (CK) & #11106555 (intertime)
I must speak to you later about Tom.,나중에 톰에 대해 말해줄 것이 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #11104798 (CK) & #11107578 (intertime)
He left here a few days ago.,그는 며칠 전 이곳을 떠났다.,CC-BY 2.0 (France) Attribution: tatoeba.org #288470 (CK) & #11110735 (intertime)
Are you saying that I'm a liar?,내가 거짓말쟁이라는 거야?,CC-BY 2.0 (France) Attribution: tatoeba.org #1897610 (Spamster) & #11105739 (intertime)
The government tends to control the media.,정부는 매체를 조종하는 경향이 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #271446 (CM) & #8368435 (Eunhee)
I want revenge.,복수하고 싶다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1887882 (CK) & #11106141 (intertime)
Tom insisted.,톰이 주장했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111163 (CK) & #8363435 (Eunhee)
Wake up!,일어나!,CC-BY 2.0 (France) Attribution: tatoeba.org #323780 (CK) & #8363300 (Eunhee)
There are children here.,여기에 아이들이 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #6270170 (CK) & #8357721 (Eunhee)
Tom's only been a widower for six months.,톰은 홀로 된지 6개월밖에 지나지 않았다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2401238 (CK) & #9689601 (ST_Young)
That'll teach you a lesson.,그건 너한테 교훈을 줄 거야.,CC-BY 2.0 (France) Attribution: tatoeba.org #8530097 (CK) & #8533692 (Eunhee)
Tom said Mary has been to Boston three times.,메리가 보스턴에 세 번이나 갔다고 톰이 말하더라.,CC-BY 2.0 (France) Attribution: tatoeba.org #6263091 (CK) & #8361448 (Eunhee)
They're green.,초록색이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111282 (CK) & #11105709 (intertime)
Human relationships are very complex.,인간 관계는 아주 복잡해.,CC-BY 2.0 (France) Attribution: tatoeba.org #5288084 (Hybrid) & #8361850 (Eunhee)
I'd like to check out.,체크아웃하고 싶습니다.,CC-BY 2.0 (France) Attribution: tatoeba.org #40245 (CK) & #11105935 (intertime)
Maybe this would help.,아마 이게 도움이 될거야.,CC-BY 2.0 (France) Attribution: tatoeba.org #4499324 (CK) & #8361773 (Eunhee)
Are you trying to hit on me?,지금 나를 유혹하는 거야?,CC-BY 2.0 (France) Attribution: tatoeba.org #1325836 (Scott) & #8543933 (okja)
Tom has more books than Mary.,톰은 매리보다 책을 더 많이 가지고 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #5640492 (CK) & #8306514 (ljj)
I think it's hilarious.,정말 웃긴 것 같아.,CC-BY 2.0 (France) Attribution: tatoeba.org #4499819 (CK) & #8362084 (Eunhee)
Tom didn't jump into the water.,톰이 물 속으로 뛰어 들지 않았어.,CC-BY 2.0 (France) Attribution: tatoeba.org #7735137 (CK) & #8422612 (Eunhee)
I don't like Christmas anymore.,나는 더 이상 크리스마스를 좋아하지 않는다.,CC-BY 2.0 (France) Attribution: tatoeba.org #4684718 (CK) & #11106349 (intertime)
My reputation has been destroyed.,내 평판은 파탄났어.,CC-BY 2.0 (France) Attribution: tatoeba.org #3831721 (CK) & #8360697 (Eunhee)
What a big supermarket!,슈퍼마켓 진짜 크다!,CC-BY 2.0 (France) Attribution: tatoeba.org #24880 (CK) & #11106019 (intertime)
I'm extremely shy.,난 극히 낯을 가려.,CC-BY 2.0 (France) Attribution: tatoeba.org #5859391 (CK) & #8365706 (Eunhee)
I've done all I can to help you. The rest is up to you.,내가 도울 수 있는 것은 다 했어. 나머지는 너에게 달렸어.,CC-BY 2.0 (France) Attribution: tatoeba.org #10287644 (CK) & #11104841 (intertime)
Do you like bean soup?,콩 스프 좋아해?,CC-BY 2.0 (France) Attribution: tatoeba.org #8533308 (sundown) & #8533889 (Eunhee)
It's awfully warm today.,끔찍하게 더운 날이네.,CC-BY 2.0 (France) Attribution: tatoeba.org #8533230 (sundown) & #8533916 (Eunhee)
I'm lonely without you.,너 없이는 외로워.,CC-BY 2.0 (France) Attribution: tatoeba.org #543115 (darinmex) & #8384615 (Eunhee)
Why me?,왜 나야?,CC-BY 2.0 (France) Attribution: tatoeba.org #24958 (CK) & #4038390 (intratech)
There's no other way to do this.,그걸 하는 데에는 다른 방법이 없어.,CC-BY 2.0 (France) Attribution: tatoeba.org #3533907 (CK) & #8366875 (Eunhee)
You'll never guess.,너는 짐작도 못 할 거야.,CC-BY 2.0 (France) Attribution: tatoeba.org #2255385 (CK) & #10730733 (HappyMidnight)
It isn't easy to write a love letter in English.,영어로 러브레터를 쓰는 것은 쉽지 않다.,CC-BY 2.0 (France) Attribution: tatoeba.org #400383 (CK) & #11110764 (intertime)
I hope Tom is coming.,톰이 오고 있길 바라.,CC-BY 2.0 (France) Attribution: tatoeba.org #2276280 (CK) & #8362159 (Eunhee)
Tom wants a beer.,톰은 맥주 한 잔 하고 싶어한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3334037 (CK) & #11105948 (intertime)
Stay.,가만 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #8907595 (CK) & #11105383 (intertime)
How much money do you have with you?,돈을 얼마나 가지고 계세요?,CC-BY 2.0 (France) Attribution: tatoeba.org #64601 (CK) & #11080047 (Eunhee)
Tom is taking a rest.,톰은 쉬고 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1663074 (Amastan) & #11105881 (intertime)
Polish girls didn't want Justin Bieber to come to Poland.,폴란드 소녀들은 저스틴 비버가 폴란드를 방문하는 것을 원치 않았다.,CC-BY 2.0 (France) Attribution: tatoeba.org #919766 (CK) & #11107461 (intertime)
Good job!,잘했어!,CC-BY 2.0 (France) Attribution: tatoeba.org #1021038 (Quazel) & #8363330 (Eunhee)
Say nothing.,아무 말도 하지 마.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111562 (CK) & #8363475 (Eunhee)
Tom is an electrical engineer.,톰은 전기기사다.,CC-BY 2.0 (France) Attribution: tatoeba.org #37055 (CK) & #3681058 (Eunhee)
Is that a spider?,이거 거미야?,CC-BY 2.0 (France) Attribution: tatoeba.org #6472067 (Hybrid) & #8364931 (Eunhee)
The boy tried to move the heavy sofa.,그 소년은 무거운 소파를 움직이려고 했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #11104729 (CK) & #11107586 (intertime)
Nothing is ever easy.,쉬운 건 아무것도 없어.,CC-BY 2.0 (France) Attribution: tatoeba.org #8510660 (CK) & #8533795 (Eunhee)
I'm sorry that I cried.,내가 울어서 미안해.,CC-BY 2.0 (France) Attribution: tatoeba.org #7113663 (CM) & #8366854 (Eunhee)
I really like snow.,나는 눈이 정말 좋아요.,CC-BY 2.0 (France) Attribution: tatoeba.org #5099505 (chris3spice) & #4952534 (rainbow4us)
Blood is red.,피는 붉다.,CC-BY 2.0 (France) Attribution: tatoeba.org #5328879 (Adelpa) & #6304943 (Queserasera)
Tom dozed.,톰이 꾸벅 졸았어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111188 (CK) & #8368291 (Eunhee)
Tom is taking baby steps.,톰은 걸음마를 하고 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #5746800 (CM) & #8422607 (Eunhee)
Tom took a cab.,톰은 택시를 잡았다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2549603 (CK) & #11104844 (intertime)
You work hard.,너는 열심히 일을 한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #15993 (CK) & #8377430 (baehyunsol)
I am human.,나는 인간이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #252284 (CK) & #8361853 (Eunhee)
Tom still hasn't responded to my email.,톰이 아직도 내 이메일에 답장을 안했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #3501982 (CK) & #4748194 (kimhkng)
Has Tom arrived?,톰은 도착했어?,CC-BY 2.0 (France) Attribution: tatoeba.org #2244561 (CK) & #11106526 (intertime)
I don't want to go to Tom's birthday party.,나는 톰의 생일 파티에 가고 싶지 않아.,CC-BY 2.0 (France) Attribution: tatoeba.org #2028612 (CK) & #8362112 (Eunhee)
Who would do something like this?,누가 저런 걸 하겠어?,CC-BY 2.0 (France) Attribution: tatoeba.org #1553308 (CK) & #8394153 (Eunhee)
He's absorbed in his work.,그는 업무에 정신이 없다.,CC-BY 2.0 (France) Attribution: tatoeba.org #11129732 (CK) & #9467626 (HappyMidnight)
Her dress attracted everyone's attention at the party.,그 여자가 파티에 입고 온 드레스가 사람들의 눈길을 끌었지.,CC-BY 2.0 (France) Attribution: tatoeba.org #899873 (Zifre) & #4785982 (kimhkng)
There's a storm coming.,폭풍이 다가온다.,CC-BY 2.0 (France) Attribution: tatoeba.org #458906 (CM) & #11106507 (intertime)
The venom of most spiders is harmless to humans.,대부분의 거미에 있는 독은 인간에게 무해해.,CC-BY 2.0 (France) Attribution: tatoeba.org #7120571 (CM) & #8364923 (Eunhee)
I think Tom is winning.,톰이 이기고 있는 것 같다.,CC-BY 2.0 (France) Attribution: tatoeba.org #11489690 (camouat) & #3684998 (rainbow4us)
What a hot day!,오늘 진짜 덥다!,CC-BY 2.0 (France) Attribution: tatoeba.org #2259827 (_undertoad) & #11105231 (intertime)
I know why Tom was crying.,난 톰이 왜 울었는지를 알고있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #6350119 (CK) & #8357722 (Eunhee)
Stay back.,물러서 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #1850251 (CK) & #11106967 (intertime)
I'm happy we're working together.,같이 일할 수 있어서 행복해.,CC-BY 2.0 (France) Attribution: tatoeba.org #2540935 (CK) & #8362182 (Eunhee)
I haven't kissed Mary yet.,아직 메리랑 키스 못 해봤어.,CC-BY 2.0 (France) Attribution: tatoeba.org #6845136 (CK) & #6845288 (dalgarak)
He was found guilty of attempted murder for attacking his mother with a knife.,그는 칼로 어머니를 공격한 살인 미수 혐의로 유죄 판결을 받았다.,CC-BY 2.0 (France) Attribution: tatoeba.org #398104 (blay_paul) & #11107065 (intertime)
Life is a delusion.,인생은 허상이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #5757383 (CM) & #8363666 (Eunhee)
I have a cold.,나는 감기에 걸렸다.,CC-BY 2.0 (France) Attribution: tatoeba.org #321954 (CK) & #10605465 (ssuss32)
Stop apologizing.,그만 사과해.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111506 (CK) & #8363460 (Eunhee)
"If it were not for water, human life would be impossible.",물이 없었다면 인류의 생존은 가능하지 않았을 겁니다.,CC-BY 2.0 (France) Attribution: tatoeba.org #30746 (CK) & #4748269 (kimhkng)
May I ask you something?,제가 당신께 무엇인가 질문해도 될까요?,CC-BY 2.0 (France) Attribution: tatoeba.org #39949 (CK) & #8355564 (Eunhee)
Can I borrow your radio?,네 라디오 좀 빌려 줄래?,CC-BY 2.0 (France) Attribution: tatoeba.org #29758 (CK) & #8988948 (Eunhee)
Attack!,공격!,CC-BY 2.0 (France) Attribution: tatoeba.org #1972610 (CK) & #8355901 (Eunhee)
Tom reassured Mary.,톰은 메리를 안심시켰다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2237594 (CK) & #11106781 (intertime)
Why are you acting this way?,왜 그런 짓을 하는 거야?,CC-BY 2.0 (France) Attribution: tatoeba.org #1953495 (_undertoad) & #11105699 (intertime)
My grandfather was killed in World War II.,우리 할아버지는 제2차 세계 대전 때 전사하셨다.,CC-BY 2.0 (France) Attribution: tatoeba.org #251348 (CK) & #11105547 (intertime)
Where in the world have you been?,세상에 너 어디에 있었니?,CC-BY 2.0 (France) Attribution: tatoeba.org #2642016 (CK) & #6305437 (Queserasera)
Is it true you've never had a serious illness?,네가 중병에 걸린 적이 없다는 게 사실이야?,CC-BY 2.0 (France) Attribution: tatoeba.org #8186059 (CK) & #8367261 (Eunhee)
Drive carefully.,운전 조심해.,CC-BY 2.0 (France) Attribution: tatoeba.org #265500 (CK) & #5548657 (YUJIHEE)
I'm going to bed. Good night.,나 자러 갈게. 잘자.,CC-BY 2.0 (France) Attribution: tatoeba.org #2496951 (CK) & #8398420 (Eunhee)
My French would likely be much better today if I'd studied with a native speaker.,내가 원어민이랑 공부한다면 내 프랑스어 실력은 훨씬 더 나을 텐데.,CC-BY 2.0 (France) Attribution: tatoeba.org #8424498 (CK) & #8426748 (Eunhee)
Everybody laughed.,전부 웃었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #22132 (CK) & #8358315 (Eunhee)
Tom is a lovable person.,톰은 사랑스러운 사람이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #8357794 (CK) & #8367042 (Eunhee)
I can't answer your question.,나는 네 질문에 답할 수 없어.,CC-BY 2.0 (France) Attribution: tatoeba.org #733380 (Eldad) & #6688578 (rainbow4us)
Tom cried.,톰은 울었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111190 (CK) & #8363439 (Eunhee)
The medicine tastes bitter.,그 약은 쓰다.,CC-BY 2.0 (France) Attribution: tatoeba.org #43550 (CK) & #5386341 (rainbow4us)
"Tom occasionally prods me to work out with him, but I'm really not interested.",톰은 때때로 같이 운동하자고 졸라댔지만 나는 정말 운동에 관심이 없다.,CC-BY 2.0 (France) Attribution: tatoeba.org #6464076 (CarpeLanam) & #6464982 (dalgarak)
I can only tell you what I know.,저는 오직 제가 아는 것만 말할 수 있습니다.,CC-BY 2.0 (France) Attribution: tatoeba.org #252299 (kebukebu) & #11105276 (intertime)
I hear that there are people in Japan that keep penguins as pets.,일본에는 펭귄을 키우는 사람이 있대.,CC-BY 2.0 (France) Attribution: tatoeba.org #8200810 (CK) & #8398357 (Eunhee)
Everybody got sick.,모두 병에 걸렸다.,CC-BY 2.0 (France) Attribution: tatoeba.org #5194996 (CK) & #11117947 (Eunhee)
Tom suffers from headaches.,톰은 두통에 시달리고 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #7010533 (Eccles17) & #8362542 (Eunhee)
I know Tom is a lazy kid.,난 톰이 게으른 애라는 걸 알고 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #7521648 (CK) & #8366858 (Eunhee)
Hitler invaded Poland in 1939.,1939년 히틀러는 폴란드를 침공했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #34672 (Zifre) & #11105813 (intertime)
Science is fun.,과학은 재밌어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2247299 (Hybrid) & #8363697 (Eunhee)
Tom and I first met in 2013.,나랑 톰은 2013년도에 처음 만났어.,CC-BY 2.0 (France) Attribution: tatoeba.org #6269653 (CK) & #8361466 (Eunhee)
I was miserable and unhappy.,나는 비참하고 불행했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #255688 (CK) & #8362505 (Eunhee)
What's your plan?,계획이 뭐에요?,CC-BY 2.0 (France) Attribution: tatoeba.org #1886670 (CK) & #11104788 (intertime)
After you.,당신 먼저에요.,CC-BY 2.0 (France) Attribution: tatoeba.org #505870 (wma) & #11104719 (intertime)
Sorry?,뭐라고 하셨나요?,CC-BY 2.0 (France) Attribution: tatoeba.org #9020701 (Rawrren) & #11104683 (intertime)
Tom is a software developer.,톰은 소프트웨어 개발자야.,CC-BY 2.0 (France) Attribution: tatoeba.org #3374237 (Inego) & #8365241 (Eunhee)
Can I borrow your umbrella?,네 우산 좀 빌릴 수 있을까?,CC-BY 2.0 (France) Attribution: tatoeba.org #70644 (CK) & #8988952 (Eunhee)
You should've done that with us.,우리랑 같이 했어야지.,CC-BY 2.0 (France) Attribution: tatoeba.org #6256115 (CK) & #8365178 (Eunhee)
Tom should've stayed in Boston.,톰은 보스턴에 있어야 했는데.,CC-BY 2.0 (France) Attribution: tatoeba.org #5495434 (CK) & #8365182 (Eunhee)
I wish I had more money.,돈이 더 많으면 좋겠다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1888388 (CK) & #3681048 (Eunhee)
I feel like a little kid.,꼬마가 된 기분이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #5187465 (CK) & #8362179 (Eunhee)
How many apples are there?,사과가 몇 개인가요?,CC-BY 2.0 (France) Attribution: tatoeba.org #1164076 (Chrikaru) & #11105390 (intertime)
Years passed.,세월이 빠르다.,CC-BY 2.0 (France) Attribution: tatoeba.org #282197 (CK) & #11104710 (intertime)
Tom survived being buried under an avalanche.,톰은 눈사태에 파묻혀 살아남았다.,CC-BY 2.0 (France) Attribution: tatoeba.org #9229943 (CK) & #11107507 (intertime)
She was busy.,그는 바빴다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3649322 (CK) & #8408621 (Eunhee)
"If you're going to smoke, smoke over there.","담배를 피울 거면, 저리 가서 피워.",CC-BY 2.0 (France) Attribution: tatoeba.org #8080404 (CK) & #8367639 (Eunhee)
Tom is quite motivated.,톰은 꽤 의욕적이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #8367156 (CK) & #8367335 (Eunhee)
I'm not a smart person.,난 똑똑한 사람이 아냐.,CC-BY 2.0 (France) Attribution: tatoeba.org #6007103 (mailohilohi) & #8365142 (Eunhee)
Why are you walking so fast?,왜 그렇게 빨리 걸어?,CC-BY 2.0 (France) Attribution: tatoeba.org #7987222 (CK) & #8363579 (Eunhee)
I don't want to study medicine.,난 의학을 공부하고 싶지 않아.,CC-BY 2.0 (France) Attribution: tatoeba.org #6664432 (CK) & #8369682 (Eunhee)
"If God did not exist, it would be necessary to invent him.","만약 신이 존재하지 않았다면, 만들어 낼 필요가 있겠지.",CC-BY 2.0 (France) Attribution: tatoeba.org #30951 (CK) & #6305183 (Queserasera)
I wanted to see Tom's room.,톰의 방을 보고 싶었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #8441019 (CK) & #8441231 (Eunhee)
He committed an illegal act.,그는 불법행위를 저질렀다.,CC-BY 2.0 (France) Attribution: tatoeba.org #293595 (CM) & #3681098 (intertime)
Tom had a crush on his science teacher.,톰은 자기 과학 선생님한테 반했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2821143 (CK) & #8363696 (Eunhee)
I don't feel like watching TV tonight.,나는 오늘 밤 TV를 볼 기분이 아니다.,CC-BY 2.0 (France) Attribution: tatoeba.org #243228 (CK) & #11106771 (intertime)
Tom looks sick.,톰은 아파 보인다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1868041 (CK) & #11104585 (intertime)
They must've had an accident.,무슨일이 있었을 거야,CC-BY 2.0 (France) Attribution: tatoeba.org #6681217 (CK) & #8345600 (ljj)
I don't like sitting on the floor.,난 바닥에 앉는 건 별로야.,CC-BY 2.0 (France) Attribution: tatoeba.org #8813301 (CK) & #8813328 (Eunhee)
A thousand meters is one kilometer.,1000 메터는 1 키로메터다,CC-BY 2.0 (France) Attribution: tatoeba.org #8048425 (Syonide) & #9803447 (ST_Young)
We're listening to Celtic music.,우리는 켈트 음악을 듣고 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #7021204 (shekitten) & #11105261 (intertime)
We're all in the same boat.,우리는 모두 같은 배를 탔다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2163047 (erikspen) & #6305266 (Queserasera)
I don't know what Tom is so upset about.,톰이 뭐 때문에 그렇게 화났는지 모르겠어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2318341 (CK) & #8367678 (Eunhee)
I really love what I do.,난 내가 하는 것이 정말 좋아.,CC-BY 2.0 (France) Attribution: tatoeba.org #5187037 (CK) & #8361872 (Eunhee)
My favorite subject is science.,내가 가장 좋아하는 과목은 과학이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #6896522 (CK) & #8363702 (Eunhee)
It's very good.,아주 좋다.,CC-BY 2.0 (France) Attribution: tatoeba.org #37872 (CK) & #10603157 (ssuss32)
It was almost noon when I woke up.,깨어나 보니 정오가 다 되어 있었다.,CC-BY 2.0 (France) Attribution: tatoeba.org #323705 (Eldad) & #11105244 (intertime)
We carried out our mission successfully.,우린 임무를 성공적으로 수행했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #22655 (CK) & #8425094 (Eunhee)
When is the next World Cup?,다음 월드컵은 언제입니까?,CC-BY 2.0 (France) Attribution: tatoeba.org #10075786 (sundown) & #11110768 (intertime)
"Someday, I'll know.",언젠가는 알아낼 것이다.,CC-BY 2.0 (France) Attribution: tatoeba.org #9779808 (DJ_Saidez) & #11106637 (intertime)
Is there something that you want to say?,뭐 할 말이라도 있냐고.,CC-BY 2.0 (France) Attribution: tatoeba.org #8177640 (CK) & #8404062 (Eunhee)
Have you ever been engaged?,한번이라도 약혼한 적 있어?,CC-BY 2.0 (France) Attribution: tatoeba.org #6912436 (CK) & #8362254 (Eunhee)
It's not as difficult as you think.,그건 생각보다 안 어려워.,CC-BY 2.0 (France) Attribution: tatoeba.org #7197003 (CK) & #8449926 (Eunhee)
I saw something strange.,나는 이상한 것을 보았다.,CC-BY 2.0 (France) Attribution: tatoeba.org #7204834 (Hybrid) & #11104595 (intertime)
Tom is studying to become a marine biologist.,탐은 해양 생물학자가 되기 위해 공부하고 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3419949 (CK) & #8306585 (ljj)
Tom learned how to do that from his grandfather.,톰은 이걸 어떻게 하는지를 자기 할아버지한테서 배웠어.,CC-BY 2.0 (France) Attribution: tatoeba.org #5715089 (CK) & #8363807 (Eunhee)
"So, you're not coming?","그래서, 안 온다고?",CC-BY 2.0 (France) Attribution: tatoeba.org #3652046 (karloelkebekio) & #11104829 (intertime)
Tom started getting mad.,톰은 화가 나기 시작했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #9689524 (CK) & #9694224 (ST_Young)
You have to take the bull by the horns.,너는 정면 돌파해야 한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #809938 (TomSFox) & #3675138 (ssuss32)
Most people think I'm crazy.,대부분의 사람들은 내가 미쳤다고 생각해,CC-BY 2.0 (France) Attribution: tatoeba.org #1322 (CK) & #8311617 (ljj)
I can't eat that salad dressing.,그 샐러드 드레싱은 못 먹겠어.,CC-BY 2.0 (France) Attribution: tatoeba.org #9302609 (shekitten) & #11104562 (intertime)
They were lucky.,그들은 운이 좋았다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2243388 (CK) & #11124438 (Eunhee)
You don't say.,설마.,CC-BY 2.0 (France) Attribution: tatoeba.org #28233 (CK) & #11106469 (intertime)
Shall I help you?,도와드릴까요?,CC-BY 2.0 (France) Attribution: tatoeba.org #64391 (CM) & #11105760 (intertime)
I meant the opposite.,내 의도는 그 반대였다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2387117 (CK) & #8543987 (okja)
Tom is bedridden now.,톰은 지금 아파서 누워 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #8370162 (CK) & #8501831 (Eunhee)
All I can do is to do my best.,내가 할 수 있는 건 최선을 다하는 것 뿐이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #249724 (CK) & #8405452 (Eunhee)
Tom is very tall for his age.,톰은 나이에 비해 키가 매우 커.,CC-BY 2.0 (France) Attribution: tatoeba.org #7732712 (CK) & #8386621 (Eunhee)
Wood burns.,나무가 탄다.,CC-BY 2.0 (France) Attribution: tatoeba.org #323576 (CK) & #11106954 (intertime)
Tom didn't get up early.,톰은 일찍 일어나지 않았어.,CC-BY 2.0 (France) Attribution: tatoeba.org #5485596 (CK) & #8363497 (Eunhee)
The spider is dead.,거미가 죽었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #1463099 (Spamster) & #8364935 (Eunhee)
We used the computer in order to save time.,우린 시간을 아끼기 위해서 컴퓨터를 썼어.,CC-BY 2.0 (France) Attribution: tatoeba.org #263062 (jakov) & #8364889 (Eunhee)
That's old news.,그것은 오래된 소식이다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2251173 (CK) & #11106448 (intertime)
Tom doesn't know what to do.,톰은 그가 뭘 해야 할지 모른다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1026081 (CK) & #6845337 (dalgarak)
"Good morning, everybody.","좋은 아침이에요, 여러분.",CC-BY 2.0 (France) Attribution: tatoeba.org #22122 (CK) & #11105249 (intertime)
Everybody loves him.,모두가 그를 사랑한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #505722 (CK) & #6304981 (Queserasera)
Get into the car.,차에 타.,CC-BY 2.0 (France) Attribution: tatoeba.org #265481 (CK) & #11106411 (intertime)
She drinks a little wine at times.,걔는 가끔 와인을 좀 마셔.,CC-BY 2.0 (France) Attribution: tatoeba.org #311710 (CK) & #4748006 (kimhkng)
I thought he was my brother.,나는 그가 내 형제인 줄 알았다.,CC-BY 2.0 (France) Attribution: tatoeba.org #471075 (CK) & #11106584 (intertime)
I'm not tired.,힘들지 않다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1891086 (CK) & #11105467 (intertime)
Please report what's happening.,현재 상황을 보고하십시요.,CC-BY 2.0 (France) Attribution: tatoeba.org #9688045 (CK) & #9694242 (ST_Young)
